,C4,C5,C6,C9,C12,C13,C14,C15,C16,C17,C18,C20,C21,C22,C23,C24,C28,C31,C32,C33,C35,C36,C38,C39,C40,C41,C42,C45,C47,C48,C49,C51,C52,C53,C54,C56,C58,C59,C60,C61,C62,C63,C64,C66,C67,C68,C69,C72,C73,C74,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C87,C88,C89,C90,C91,C92,C93,C94,C96,C98,C99,C100,C101
R22,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,10,0,10,0,2,0,0,1,0,0,1,4,1,0,0,2,0,2,0,0,0,1,1,0,0,0,1,2,0,2,0,1,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0
R23,3,4,3,1,3,1,3,5,4,10,10,4,6,0,0,1,2,0,0,0,5,5,0,4,3,0,5,0,3,4,0,0,0,3,0,3,2,2,4,0,6,3,0,0,0,0,5,3,3,3,0,4,0,0,4,1,4,8,0,3,2,0,2,0,2,2,0,0,2,3,0,0,6
R24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R31,1,0,1,0,1,0,0,0,1,0,1,1,5,0,0,0,4,0,4,1,7,1,3,3,10,2,5,20,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,3,2,1,3,3,0,3,1,1,2,0,4,0,0,0,0,1,2,0,5,0,1,0,0,0,0,0,0,0
R32,1,0,0,0,0,0,0,0,1,0,1,0,5,3,0,4,0,4,0,5,4,2,5,2,5,1,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,1,0,3,0,1,1,0,1,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0
R33,0,1,0,0,1,0,0,4,0,0,0,0,3,0,0,6,0,1,5,0,0,0,0,0,4,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
R35,0,0,0,0,0,0,0,0,0,0,0,0,10,2,5,0,1,7,4,0,0,1,5,5,5,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
R36,0,3,0,1,0,0,0,0,1,0,0,0,0,1,5,0,0,1,2,0,1,0,0,0,3,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,0,0,0,0,0,5,15,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0
R39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,2,0,5,0,0,0,1,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R40,3,2,5,0,0,0,5,1,20,0,1,3,15,10,3,10,0,10,5,4,5,3,0,1,0,5,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R41,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
R42,0,2,0,1,1,0,0,0,0,2,1,0,0,10,5,0,4,5,2,0,3,1,5,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0
R45,0,2,0,0,0,1,0,0,0,0,0,0,10,0,0,0,3,20,5,5,20,5,15,15,20,5,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,3,1,0,0,0,0,0,0
R47,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,1,4,2,4,5,0,0,1,1,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,1,2,10,5,0,0,1,1,5,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R49,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,5,2,8,2,3,3,5,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R51,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,0,0,0,5,2,5,7,0,0,0,1,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,5,2,10,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R53,0,0,1,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,5,0,0,5,3,10,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R54,0,0,0,0,1,0,0,0,0,5,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,5,2,5,5,0,3,5,5,5,15,5,2,3,2,5,0,1,0,0,2,0,0,0,0,3,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0
R56,1,0,1,1,1,0,1,1,1,2,2,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,2,5,2,3,3,0,5,0,2,2,1,5,4,3,2,2,4,2,1,3,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,2,3,0,0,1,0,0,0
R58,0,0,1,0,0,0,2,0,0,1,1,0,4,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,8,7,10,10,5,5,0,5,5,10,5,5,7,1,3,0,3,0,0,0,0,0,3,1,1,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0
R59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,5,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R60,0,0,0,1,1,0,0,0,0,2,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,2,5,4,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
R61,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,3,0,0,0,15,2,10,2,2,0,2,1,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
R62,0,0,0,0,0,0,0,0,0,1,2,2,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,1,1,2,5,1,5,4,4,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
R63,1,0,1,1,2,0,0,0,1,2,1,2,5,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,3,5,2,4,2,5,2,5,5,0,0,1,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
R64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,10,1,5,0,0,3,4,7,0,0,3,3,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R66,1,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,10,6,5,2,4,1,1,0,0,0,3,0,0,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0
R67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,1,3,0,0,2,0,0,0,5,2,3,0,0,0,2,0,0,0,0,5,1,5,1,2,3,0,0,0,0,2,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0
R68,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,5,0,10,20,10,10,5,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
R69,0,0,1,0,0,0,2,0,0,3,0,0,0,1,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,1,0,0,0,6,1,10,0,5,5,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,3,3,0,0,0,2,0,0
R72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,5,20,5,0,5,5,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
R73,0,0,1,1,1,0,0,0,0,0,0,0,1,0,3,0,0,3,1,0,4,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,10,5,5,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
R74,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,3,0,0,1,1,0,1,1,4,2,10,5,5,3,0,1,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,0,1,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R77,15,5,3,2,2,4,5,2,5,1,1,1,4,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,3,1,3,0,2,0,1,1,0,1,0,5,1,1,1,0,1,3,1,5
R78,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,3,0,0,0,0,5,0,0,0,10,0,0,0,0,0,3,0,0
R79,0,0,0,0,1,0,1,0,1,0,0,0,5,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,1,0,0,1,0,4,0,0,0,15,15,1,0,0,0,5,0,30
R80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0,0,1,3,0,1,0,0,0,5,2,0,2,10,0,4,3,1,0,0,0,0,0,0,0,0,0
R81,1,0,1,1,1,0,2,1,0,2,1,1,5,1,1,0,0,4,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0,1,1,0,1,0,3,2,0,1,0,0,0,1,3,3,1,5,0,5,5,5,5,3,5,10,10,4,1,1,0,0,1,4,0,2
R82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,0,5,0,3,0,3,8,0,0,0,0,0,0,0,0,0,0
R83,0,5,1,0,0,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,5,0,2,4,0,5,5,3,0,0,0,0,0,0,0,0,0
R84,0,0,0,0,0,0,0,3,0,2,1,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,5,0,0,1,2,5,0,2,0,1,2,10,0,2,0,0,1,0,0,0,0,0,0
R85,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,1,0,0,2,0,3,0,1,2,1,2,0,0,0,1,0,1,0,0,10,5,3,4,1,0,1,5,0,3,0,1,0,0,0,0,0,0,0
R87,35,1,5,5,3,10,20,5,0,2,0,0,5,15,2,0,0,1,1,0,1,1,5,0,0,0,5,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,0,2,4,0,1,1,1,0,1,1,5,4,0,3,0,0,2,1,0,0,2,2,8,3,0,0,1,3,1,0,0
R88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,4,5,3,5,10,5,0,0,0,5,0,0,0,0,0,0,0,0,0
R89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,3,10,8,5,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
R90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,0,3,2,3,2,5,3,0,0,0,0,0,0,0,1,0,0
R91,5,5,5,3,0,0,2,0,0,1,0,0,0,2,2,0,0,0,1,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,5,10,15,0,4,0,0,0,0,8,0,0,0,0,10,5,0,5,10,10,1,30
R92,0,4,1,0,0,0,1,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,15,0,1,0,0,0,1,3,0,0,0,10,0,1,0,0,0,5,0,30
R93,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,5,1,0,5,5,1,2,5,3
R94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0
R96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,5,0,0,0,0,0,1
R98,0,4,1,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,10,0,1,0,0,0,4,0,0
R99,1,0,0,2,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,3,5,0,4,0,0,0,0,1,0,0,1,10,5,2,2,0,4,0,0,30
R100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0
R101,3,0,2,0,0,2,5,1,3,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,30,0,2,0,0,0,0,0,0,0,0,30,30,3,0,1,0,30,0,0
